Temperature,Humidity,Light,Gas,Weather_Current,Weather_1H_Ahead
31.73,68.57,34799.11,289.78,Berawan,Berawan
24.84,96.62,100.97,453.52,Hujan,Mendung
28.08,55.34,25606.38,587.22,Berawan,Mendung
31.22,70.83,27441.0,646.55,Berawan,Cerah
28.98,58.21,15597.01,299.57,Berawan,Cerah
28.47,77.4,1640.4,725.88,Mendung,Hujan
26.22,77.2,4784.84,169.21,Mendung,Cerah
22.32,90.79,1334.94,716.04,Hujan,Mendung
25.34,77.12,7123.46,291.88,Mendung,Hujan
24.89,97.31,1465.07,474.53,Hujan,Mendung
25.24,89.46,5188.95,748.57,Mendung,Cerah
35.66,56.64,77403.42,566.0,Cerah,Cerah
31.75,43.46,62761.94,737.58,Cerah,Cerah
27.96,79.88,1257.81,531.79,Mendung,Mendung
31.77,67.85,19993.5,107.33,Berawan,Hujan
28.03,83.71,1988.79,778.4,Mendung,Berawan
34.37,52.6,61587.36,384.07,Cerah,Mendung
23.63,91.13,703.36,203.98,Hujan,Berawan
30.03,70.33,16462.66,680.2,Berawan,Mendung
22.47,87.5,947.06,338.12,Hujan,Mendung
32.97,42.0,85262.56,293.25,Cerah,Cerah
24.18,86.32,1253.07,206.11,Hujan,Berawan
28.88,83.36,8006.98,643.3,Mendung,Mendung
23.2,91.14,1171.81,361.37,Hujan,Hujan
30.31,57.38,11093.83,136.92,Berawan,Mendung
24.44,99.76,461.17,414.33,Hujan,Hujan
28.53,62.9,15314.06,354.54,Berawan,Berawan
28.15,67.86,25520.42,254.26,Berawan,Berawan
22.35,90.87,1455.31,561.6,Hujan,Hujan
22.12,99.54,1346.49,460.83,Hujan,Mendung
27.93,75.38,5037.52,718.19,Mendung,Hujan
34.73,45.18,82520.6,250.4,Cerah,Cerah
26.63,75.75,6020.91,313.02,Mendung,Berawan
30.38,42.93,48791.55,242.4,Cerah,Cerah
23.0,92.33,1432.85,790.48,Hujan,Mendung
28.16,55.35,29402.28,478.39,Berawan,Berawan
28.15,69.39,18407.96,600.15,Berawan,Berawan
30.7,60.89,25862.23,688.09,Berawan,Cerah
34.95,49.91,63180.93,415.09,Cerah,Cerah
26.87,71.63,7139.13,653.26,Mendung,Hujan
28.02,61.25,16238.57,557.93,Berawan,Cerah
30.51,65.94,16935.28,340.68,Berawan,Berawan
28.38,61.7,13432.62,683.96,Berawan,Berawan
22.7,96.74,1361.24,578.25,Hujan,Mendung
28.02,61.56,29811.61,611.29,Berawan,Berawan
26.9,88.03,1312.66,323.92,Mendung,Mendung
28.88,57.06,27551.06,441.98,Berawan,Berawan
28.19,75.05,1526.87,380.86,Mendung,Hujan
35.38,54.89,46338.57,787.24,Cerah,Berawan
32.59,52.01,40443.91,344.0,Cerah,Cerah
24.28,91.53,888.21,612.91,Hujan,Hujan
31.43,58.77,50265.16,179.27,Cerah,Cerah
24.51,98.83,439.52,306.89,Hujan,Hujan
24.42,95.58,1392.41,304.63,Hujan,Mendung
26.56,81.86,5642.22,795.66,Mendung,Mendung
25.83,85.98,8227.33,390.68,Mendung,Mendung
32.45,45.18,81916.28,630.73,Cerah,Berawan
23.49,92.29,1368.39,306.43,Hujan,Hujan
27.3,70.59,7078.78,131.4,Mendung,Mendung
24.02,91.85,431.81,563.08,Hujan,Mendung
25.77,93.45,832.29,111.18,Hujan,Mendung
28.26,61.35,16609.57,460.71,Berawan,Cerah
32.97,56.93,70309.94,623.62,Cerah,Cerah
28.86,77.68,1350.96,121.67,Mendung,Mendung
30.79,46.05,93705.11,780.44,Cerah,Berawan
23.09,90.12,952.68,739.26,Hujan,Mendung
22.28,96.98,562.27,607.79,Hujan,Berawan
25.7,82.99,7820.49,273.14,Mendung,Mendung
33.41,44.06,57568.77,585.49,Cerah,Mendung
27.18,78.02,4877.36,140.2,Mendung,Mendung
25.37,83.86,2925.79,754.32,Mendung,Mendung
30.81,67.27,19331.55,658.39,Berawan,Cerah
35.53,55.82,52044.7,388.06,Cerah,Cerah
32.76,41.55,97583.61,715.29,Cerah,Berawan
30.63,56.29,21732.07,295.01,Berawan,Berawan
31.42,45.77,96279.27,677.97,Cerah,Cerah
27.91,85.5,6840.84,239.26,Mendung,Mendung
25.77,78.45,6622.62,710.9,Mendung,Mendung
30.91,61.18,21241.13,428.37,Berawan,Berawan
26.87,75.94,8675.4,600.89,Mendung,Mendung
28.79,67.53,30543.19,187.81,Berawan,Berawan
28.98,75.12,7344.61,630.6,Mendung,Mendung
23.77,90.2,1518.26,725.46,Hujan,Hujan
35.71,52.75,87262.11,589.84,Cerah,Cerah
23.3,92.13,1245.33,790.19,Hujan,Hujan
27.86,84.06,4194.69,724.87,Mendung,Mendung
28.51,84.29,5718.13,290.97,Mendung,Hujan
30.74,55.68,34564.99,240.19,Berawan,Berawan
23.43,98.2,253.62,237.6,Hujan,Hujan
30.68,49.74,51662.14,702.74,Cerah,Cerah
31.5,63.7,26061.43,752.25,Berawan,Cerah
31.61,50.4,73944.52,110.72,Cerah,Berawan
26.09,87.1,4118.22,781.13,Mendung,Hujan
33.93,47.6,51829.25,435.43,Cerah,Cerah
32.8,42.01,60166.51,365.45,Cerah,Cerah
24.2,87.17,1261.31,753.28,Hujan,Mendung
28.25,56.02,30808.26,489.7,Berawan,Berawan
31.46,64.99,23155.24,527.72,Berawan,Berawan
26.71,72.62,7290.87,419.37,Mendung,Mendung
22.13,95.97,1828.1,700.15,Hujan,Hujan
29.21,65.25,28628.95,673.64,Berawan,Berawan
30.06,53.56,68629.6,212.73,Cerah,Cerah
27.82,78.55,4982.91,554.53,Mendung,Hujan
25.59,71.97,6218.25,539.5,Mendung,Mendung
25.65,93.54,496.35,340.24,Hujan,Hujan
26.23,79.5,5044.16,596.01,Mendung,Mendung
25.78,89.21,2283.89,456.36,Mendung,Hujan
25.19,80.99,5202.92,749.49,Mendung,Mendung
29.85,63.77,16555.3,377.76,Berawan,Cerah
25.73,95.05,1659.32,181.28,Hujan,Mendung
28.68,63.95,16313.79,582.71,Berawan,Mendung
33.19,58.73,42360.61,185.48,Cerah,Cerah
31.83,58.51,30700.15,240.65,Berawan,Berawan
28.78,70.12,5177.22,117.26,Mendung,Hujan
26.94,72.45,7526.67,326.11,Mendung,Hujan
23.88,94.49,918.85,196.92,Hujan,Hujan
28.79,55.07,36124.82,328.51,Berawan,Berawan
28.31,73.6,31214.13,330.8,Berawan,Berawan
24.54,95.09,1391.77,285.75,Hujan,Mendung
28.31,76.44,3688.44,313.57,Mendung,Hujan
25.61,95.33,1944.96,456.91,Hujan,Hujan
28.69,57.05,28377.78,165.95,Berawan,Berawan
30.39,60.27,17740.58,345.45,Berawan,Mendung
32.09,50.41,79322.99,392.85,Cerah,Berawan
24.47,95.78,844.86,733.45,Hujan,Hujan
30.6,40.67,73623.94,586.38,Cerah,Berawan
31.27,57.14,89225.61,408.4,Cerah,Cerah
34.07,54.95,46919.14,259.4,Cerah,Cerah
25.12,70.81,6514.02,664.28,Mendung,Mendung
24.83,97.56,1425.2,576.1,Hujan,Hujan
24.37,88.26,518.0,522.71,Hujan,Mendung
25.36,88.46,7203.51,188.97,Mendung,Mendung
28.91,74.28,37283.64,605.5,Berawan,Berawan
25.44,74.95,8941.79,352.59,Mendung,Mendung
28.12,63.3,23006.29,427.02,Berawan,Berawan
27.81,81.96,5409.04,122.52,Mendung,Mendung
30.46,58.51,25395.7,600.77,Berawan,Hujan
25.73,97.09,1416.65,103.52,Hujan,Mendung
34.68,56.61,87863.42,250.83,Cerah,Cerah
28.73,84.83,3514.74,192.16,Mendung,Hujan
25.85,88.52,290.63,203.8,Hujan,Hujan
23.75,99.73,1737.83,640.41,Hujan,Mendung
34.01,54.8,66887.72,756.27,Cerah,Berawan
27.89,71.49,9229.96,114.45,Mendung,Hujan
24.3,87.84,1246.36,121.93,Hujan,Mendung
25.17,76.85,1691.65,375.06,Mendung,Mendung
24.02,92.9,1860.75,122.13,Hujan,Hujan
27.41,87.85,4990.42,524.96,Mendung,Mendung
30.42,52.8,96355.61,101.35,Cerah,Berawan
24.96,96.64,148.84,448.18,Hujan,Hujan
31.78,50.2,80060.44,118.38,Cerah,Cerah
30.02,46.86,98131.56,586.48,Cerah,Cerah
31.71,69.04,22420.84,518.87,Berawan,Berawan
35.96,49.77,73024.57,586.1,Cerah,Mendung
27.78,77.83,4331.89,572.9,Mendung,Mendung
28.76,85.63,2189.0,694.6,Mendung,Hujan
31.67,45.2,96075.24,441.23,Cerah,Cerah
25.72,83.91,8086.83,412.98,Mendung,Mendung
25.45,88.06,1467.58,302.37,Hujan,Hujan
23.53,92.4,131.17,157.65,Hujan,Mendung
34.36,49.64,71535.7,197.26,Cerah,Mendung
27.12,88.01,5964.82,278.78,Mendung,Mendung
31.64,71.16,16481.54,426.63,Berawan,Mendung
26.55,85.39,2430.15,590.83,Mendung,Hujan
27.51,88.71,3691.58,351.41,Mendung,Mendung
28.08,79.77,4039.47,484.49,Mendung,Mendung
25.65,78.15,8479.33,562.7,Mendung,Mendung
22.04,85.05,1543.45,633.01,Hujan,Hujan
28.79,84.53,2977.14,414.36,Mendung,Hujan
32.87,43.55,92572.46,468.07,Cerah,Berawan
24.38,96.91,1979.75,575.41,Hujan,Hujan
30.34,52.14,71809.83,464.54,Cerah,Cerah
26.44,87.04,5983.97,602.51,Mendung,Hujan
28.61,82.35,9824.16,525.66,Mendung,Mendung
27.99,87.67,7901.23,123.94,Mendung,Hujan
30.57,60.42,13697.61,204.81,Berawan,Berawan
28.91,72.65,10603.65,626.91,Berawan,Berawan
27.89,85.47,2348.35,410.91,Mendung,Berawan
29.93,71.72,24972.5,556.75,Berawan,Berawan
32.32,41.12,95211.56,383.47,Cerah,Cerah
30.26,74.01,13265.81,123.04,Berawan,Berawan
35.57,57.17,57702.24,753.04,Cerah,Cerah
32.24,54.43,59617.51,540.69,Cerah,Cerah
23.21,95.73,1349.41,231.61,Hujan,Mendung
31.4,61.54,20187.1,726.89,Berawan,Berawan
31.38,69.71,16351.5,201.7,Berawan,Berawan
30.71,65.76,28894.03,517.69,Berawan,Berawan
28.19,73.67,8017.22,517.8,Mendung,Mendung
22.1,96.86,122.61,305.21,Hujan,Berawan
30.28,66.9,13045.02,101.57,Berawan,Cerah
35.81,44.72,81552.59,304.74,Cerah,Cerah
31.92,59.93,90733.07,527.67,Cerah,Cerah
25.31,96.87,1471.2,351.37,Hujan,Mendung
30.49,49.02,80574.1,286.73,Cerah,Cerah
23.68,88.09,904.99,564.72,Hujan,Berawan
30.75,74.72,33010.38,759.38,Berawan,Cerah
31.88,65.05,15268.74,561.04,Berawan,Hujan
25.47,88.23,784.72,147.95,Hujan,Hujan
35.7,45.69,44869.56,678.3,Cerah,Mendung
24.87,94.97,752.42,113.37,Hujan,Hujan
28.89,78.87,9531.65,194.26,Mendung,Hujan
35.32,53.41,98922.41,144.12,Cerah,Mendung
30.37,53.88,50965.07,323.33,Cerah,Cerah
33.6,43.55,58223.99,335.75,Cerah,Cerah
25.45,87.39,128.67,414.47,Hujan,Mendung
31.71,59.12,84046.51,563.19,Cerah,Berawan
34.58,56.98,75243.17,212.87,Cerah,Cerah
28.17,68.99,19916.83,621.32,Berawan,Berawan
35.56,51.77,64464.35,555.82,Cerah,Berawan
28.47,74.05,23539.72,279.51,Berawan,Berawan
23.66,92.1,881.38,750.96,Hujan,Mendung
33.11,41.92,99621.88,626.86,Cerah,Cerah
33.47,52.69,87874.85,377.18,Cerah,Mendung
25.7,76.23,6245.84,612.68,Mendung,Mendung
34.47,59.43,92695.52,182.86,Cerah,Cerah
31.71,60.12,21019.31,788.71,Berawan,Berawan
25.01,94.83,1558.71,446.15,Hujan,Hujan
25.67,83.24,5953.87,185.46,Mendung,Berawan
34.58,51.69,42287.09,441.67,Cerah,Berawan
30.19,74.94,26981.43,131.08,Berawan,Berawan
31.6,46.9,78942.67,717.97,Cerah,Cerah
26.49,78.35,3705.32,559.64,Mendung,Hujan
28.26,87.55,7958.65,570.11,Mendung,Cerah
31.36,53.23,63526.64,148.83,Cerah,Cerah
27.75,80.79,5485.22,145.29,Mendung,Berawan
27.08,71.48,6449.34,461.75,Mendung,Mendung
30.24,54.83,89656.62,777.51,Cerah,Berawan
22.99,85.95,350.25,701.12,Hujan,Hujan
33.44,49.42,80037.53,769.48,Cerah,Cerah
24.96,96.68,1679.26,319.02,Hujan,Hujan
29.29,71.97,14098.64,596.24,Berawan,Berawan
25.91,93.73,1747.06,767.3,Hujan,Hujan
22.96,92.68,1569.79,130.83,Hujan,Hujan
23.66,92.71,1816.27,722.92,Hujan,Hujan
34.4,42.11,56250.16,146.79,Cerah,Cerah
27.31,89.24,4467.56,730.85,Mendung,Hujan
25.74,71.08,6159.82,582.02,Mendung,Mendung
28.51,71.0,35890.27,205.48,Berawan,Mendung
35.54,51.37,61823.53,629.58,Cerah,Cerah
25.06,92.49,1478.75,453.63,Hujan,Hujan
25.81,89.23,825.87,164.15,Hujan,Mendung
25.59,91.79,870.93,127.91,Hujan,Mendung
31.13,72.73,21959.27,704.05,Berawan,Cerah
30.74,73.05,35117.89,189.16,Berawan,Cerah
29.7,63.34,29913.95,442.88,Berawan,Berawan
28.3,73.81,22499.17,506.81,Berawan,Mendung
31.81,65.03,25075.72,746.41,Berawan,Cerah
32.82,58.66,83185.68,154.19,Cerah,Cerah
31.08,56.26,96427.81,334.99,Cerah,Cerah
28.88,85.47,3190.17,128.08,Mendung,Hujan
25.03,93.74,1409.1,496.91,Hujan,Hujan
23.7,85.22,1770.71,208.2,Hujan,Hujan
25.63,87.21,5027.88,741.92,Mendung,Mendung
28.14,62.84,30914.91,235.4,Berawan,Berawan
31.13,69.18,15761.49,494.04,Berawan,Berawan
26.69,88.41,8912.66,419.83,Mendung,Mendung
22.51,86.37,438.65,581.94,Hujan,Hujan
31.93,62.85,20868.86,323.02,Berawan,Mendung
28.97,62.97,10575.19,640.75,Berawan,Cerah
26.26,81.37,6515.23,583.36,Mendung,Hujan
27.03,71.17,2383.7,763.36,Mendung,Mendung
23.35,97.98,182.59,400.25,Hujan,Hujan
33.12,44.69,47413.99,186.58,Cerah,Cerah
28.25,67.56,14338.85,452.73,Berawan,Cerah
28.65,73.6,19859.95,651.75,Berawan,Mendung
27.47,88.0,8107.25,235.71,Mendung,Mendung
22.43,93.2,1550.93,502.83,Hujan,Hujan
31.33,55.22,32486.36,631.07,Berawan,Berawan
28.92,73.11,3030.98,248.26,Mendung,Hujan
33.34,59.91,97090.25,290.18,Cerah,Berawan
32.59,55.72,67747.41,758.68,Cerah,Cerah
32.68,45.19,49400.31,301.21,Cerah,Cerah
23.78,97.09,115.13,747.19,Hujan,Mendung
25.79,93.93,1349.98,144.74,Hujan,Mendung
24.29,94.48,952.05,305.25,Hujan,Mendung
25.22,73.96,1082.81,539.08,Mendung,Mendung
29.45,64.28,22715.37,403.17,Berawan,Berawan
27.36,76.94,2765.73,586.08,Mendung,Mendung
35.91,58.22,41739.56,639.51,Cerah,Cerah
31.53,57.6,35675.29,607.01,Berawan,Mendung
23.96,93.08,589.55,356.37,Hujan,Mendung
28.72,56.33,32233.62,502.13,Berawan,Mendung
30.93,52.47,68454.24,341.07,Cerah,Cerah
30.18,59.75,30373.83,444.04,Berawan,Berawan
31.56,70.04,10137.07,385.43,Berawan,Berawan
25.93,85.19,1783.63,347.57,Hujan,Mendung
27.07,83.09,5747.68,260.3,Mendung,Berawan
22.43,91.6,334.28,440.51,Hujan,Hujan
23.36,91.78,293.74,151.14,Hujan,Mendung
24.18,89.97,432.93,637.94,Hujan,Mendung
26.0,93.69,180.31,510.73,Hujan,Mendung
23.7,93.22,1090.04,345.14,Hujan,Hujan
28.83,87.73,2525.2,431.25,Mendung,Hujan
23.45,99.58,1928.65,276.25,Hujan,Mendung
31.95,55.5,17579.38,464.05,Berawan,Berawan
22.13,88.25,242.25,371.45,Hujan,Hujan
29.16,68.19,12955.45,492.46,Berawan,Cerah
30.31,49.55,94386.83,101.58,Cerah,Cerah
31.05,58.29,65126.23,368.2,Cerah,Cerah
28.27,87.22,6540.62,108.93,Mendung,Mendung
34.06,52.12,61875.62,252.52,Cerah,Mendung
25.49,82.3,7971.7,550.73,Mendung,Mendung
30.97,58.61,73261.7,443.65,Cerah,Cerah
23.17,95.58,1497.33,312.45,Hujan,Mendung
27.31,87.54,4904.2,212.59,Mendung,Mendung
26.21,74.77,6111.01,684.59,Mendung,Berawan
25.14,87.84,7774.87,543.28,Mendung,Hujan
26.03,84.03,1129.36,134.66,Mendung,Mendung
27.67,89.32,7849.34,765.54,Mendung,Mendung
22.65,93.58,1630.32,632.11,Hujan,Mendung
24.59,92.17,1647.93,415.62,Hujan,Hujan
25.27,85.2,1801.88,120.26,Hujan,Mendung
29.49,60.82,36009.82,622.07,Berawan,Cerah
30.53,44.04,49280.52,437.18,Cerah,Cerah
28.69,78.35,9665.76,116.92,Mendung,Mendung
26.13,81.1,7573.75,473.01,Mendung,Hujan
32.5,43.1,79867.04,596.16,Cerah,Cerah
26.85,88.76,3094.37,124.35,Mendung,Hujan
25.13,87.18,1034.95,375.76,Hujan,Hujan
25.48,90.45,790.45,316.32,Hujan,Hujan
28.0,76.67,7301.4,776.05,Mendung,Berawan
27.27,70.84,2590.81,705.5,Mendung,Mendung
34.32,55.08,53143.55,410.13,Cerah,Cerah
30.41,48.95,49841.3,342.27,Cerah,Berawan
